Placa,Chassi,Tipo,Ignição,HR Evento,HR Recebimento,Velocidade,Tensão,Sinal,Hodômetro,Endereço,Lat/Long
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 00:16,21/07/2025 00:17,0,12.77v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 01:16,21/07/2025 01:17,0,12.77v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 02:16,21/07/2025 02:17,0,12.73v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 03:16,21/07/2025 03:17,0,12.73v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 04:16,21/07/2025 04:17,0,12.73v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 05:16,21/07/2025 05:17,0,12.73v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 06:16,21/07/2025 06:16,0,12.74v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 07:16,21/07/2025 07:17,0,12.72v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 08:16,21/07/2025 08:17,0,12.69v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
TBI9A63,2180169507,IGNICAO_ON,ON,21/07/2025 09:14,21/07/2025 09:14,0,14.19v,10,6646454,"Rua Concórdia, São José dos Pinhais - PR","-25.534512, -49.09264"
